400,400,850.017553877849
800,541,465.58894757213596
1200,688,228.33219429489594
1600,833,-49.598455684615004
2000,1071,-49.598455684615004
2400,1364,-96.68924485304956
2800,1691,-96.68924485304956
3200,2042,-119.15751252175272
3600,2406,-167.30680474656867
4000,2784,-167.30680474656867
4400,3169,-170.24671076253844
4800,3566,-189.7946574284116
5200,3949,-189.7946574284116
5600,4339,-189.7946574284116
6000,4732,-191.1762837932552
6400,5128,-191.1762837932552
6800,5525,-191.1762837932552
7200,5922,-198.5503418213761
7600,6310,-198.5503418213761
8000,6695,-198.5503418213761
8400,7081,-198.5503418213761
8800,7471,-198.5503418213761
9200,7860,-198.5503418213761
9600,8252,-198.5503418213761
10000,8644,-198.5503418213761
