400,400,-158.32641395084278
800,519,-231.18316924110673
1200,650,-251.09233930525323
1600,916,-288.9911885411819
2000,1216,-296.0000525894307
2400,1530,-312.51728744412014
2800,1870,-312.51728744412014
3200,2218,-324.4387439757009
3600,2576,-331.32229191826696
4000,2949,-331.764116677485
4400,3325,-335.4043202214142
4800,3709,-335.4043202214142
5200,4098,-335.4043202214142
5600,4487,-335.4043202214142
6000,4877,-335.4043202214142
6400,5270,-335.4043202214142
6800,5665,-335.4043202214142
7200,6060,-335.71053917979157
7600,6457,-335.71053917979157
8000,6855,-336.0014005064885
8400,7252,-336.14774129674345
8800,7649,-336.65900327262665
9200,8048,-336.65900327262665
9600,8448,-336.65900327262665
10000,8847,-336.65900327262665
